trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.97, 'e': 0.021539643821395293}",25,12,5.2608784428710536,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.97, 'e': 0.020893454506753433}",25,14,4.042058570348837,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.97, 'e': 0.02026665087155083}",25,11,-22.176655269992878,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.97, 'e': 0.019658651345404305}",30,12,12.381661969743979,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.97, 'e': 0.019068891805042173}",20,11,17.55059749612696,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.97, 'e': 0.018496825050890908}",20,12,12.457951048328129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.97, 'e': 0.01794192029936418}",25,8,34.03876672527093,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.97, 'e': 0.017403662690383254}",25,0,6.831081479656697,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
134,False,"{'a': 0.97, 'e': 0.016881552809671758}",30,17,21.28595653502774,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.97, 'e': 0.016375106225381603}",25,10,-59.906873015634474,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
136,False,"{'a': 0.97, 'e': 0.015883853038620156}",25,19,4.530659977433558,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.97, 'e': 0.01540733744746155}",20,14,11.96714986492295,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.97, 'e': 0.014945117324037704}",25,0,35.07165253859475,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.97, 'e': 0.014496763804316573}",20,4,26.29003032428343,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.97, 'e': 0.014061860890187074}",20,13,-33.740916904718354,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.97, 'e': 0.013640005063481462}",25,7,28.924236793253197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
